016486 (4 points),,
name of video,link,qustions
Galapagos Islands,https://youtu.be/zx5mbtf_Eu8?si=9UGAOqObFP3jPEyZ&t=919,What two facts do we learn about the Galapagos Islands? What do we know about the Galapagos penguins? Name two things
,,"According to the clip, what is “adaptation”? Explain. How have the iguanas adapted to the Galapagos Islands? Explain."
Rainforests,https://youtu.be/j-hgPRTfKms?si=ii-7gqXT_19hilWi&t=245,Name three facts we learn about rainforests. What is deforestation? Explain.
,,Why was Kids Saving The Rainforest organization founded? Give two reasons. What have the people in this organization done? Give two examples and explain.
Making Snow,https://youtu.be/lyhR2ApY-fA?si=7m5SNy2GtgGfIsLZ&t=248,"What is the problem presented in the clip? According to the clip, what is the solution for this? Explain."
,,"Can this machine be used anywhere? Explain. In your opinion, is the solution presented in the clip effective? Give an example and explain"
Lifeguard Dogs,https://youtu.be/ldHv-0eRSiw?si=6VtR-RX4-DgQ9iBz&t=439,"What do we know about Beacon and Bouy (Booie)? Name two things. According to the clip, what can a water rescue dog do? Give two examples."
,,"Why are Beacon and Bouy so suitable for this job? Explain. Based on the clip you just watched, is it a good idea to have a dog on the lifeguard team? Explain."
Dolphins,https://youtu.be/paByxq_i5eY?si=7mon4vqTfylMBR9M&t=692,Name three facts we learn about dolphins. How are dolphins similar to human beings? Give two examples.
,,"According to the clip, why is it important to protect our oceans? Explain. What is the most interesting thing you learned from this clip? Explain."
Kindness 101 with Steve Hartman: How to find empathy,https://www.youtube.com/watch?v=6HfnDjWblfU&list=PLJzm9BhU_wL9co3T1JYzfld3xtL3_kKnA&index=6,Explain “empathy” as used in the clip. List two facts about Austin
,,How did Austin learn about homeless people? Explain. Describe what he does as a result.
"16586 (5 points)
",,
Japan encourages parents to let kids walk to school solo,https://www.youtube.com/watch?v=IkVvXVDs5aI,What is surprising about the young boy’s daily routine? Explain. Describe the young boy’s journey to school.
,,"Why do parents in Japan feel comfortable with this way of life? Give two examples and explain. In your opinion, would parents in Israel be comfortable with this way of life? Explain"
The genius of the London Tube Map,https://www.youtube.com/watch?v=iBErp8qvWZg,"According to the clip, why was the original map of the London Tube complicated? Give two examples and explain. What changes occurred when Harry Beck understood that all that people wanted is to get from one station to the other? Give two examples and explain."
,,How do we know that Beck's Tube map became a success story? Explain. The speaker mentions three principles that should be applied in almost every design problem. Choose one and give an example of how it was applied to the map.
How friendship affects your brain,https://www.youtube.com/watch?v=YmVpwXH4jhA,"Why is Priya considered a great friend? Give two examples and explain. What makes adolescent
friendships so special? Give two examples and explain. "
,,"According to the clip, what is “Theory of Mind”. How does this affect friendships in adolescence? Explain."
Pandas,https://youtu.be/nO4kScRGYJY?si=VMGfpDz9Nhrr-Osh&t=555,"Describe the conservation partnership between China and the United States. According to the clip, what do we learn about pandas? Give two examples."
,,"According to the clip, are pandas considered critically endangered? Explain. What is the most interesting thing you learned from this clip? Explain."
Do You Really Need 8 Hours of Sleep Every Night?,https://www.youtube.com/watch?v=fQUeDdaVoWo,"What issue does the speaker raise at the beginning of her talk? According to the clip, is it true that people need 7-8 hours of sleep every night? Explain."
,,"What does the speaker mean when she says that if you constantly think about your sleep it may cause more sleep problems ? Explain. At the end of the clip, the speaker offers a number of suggestions. Which do you find the most useful? Explain."
The Power of Words,https://www.youtube.com/watch?v=hmX8FBNo2no,"At the beginning of the clip, the speaker makes claims that are not true. What makes people believe him? What does the speaker mean when he says, “A simple choice of words can make a difference”. Explain."
,,"According to the clip, how does the speaker react both times when he sees his son drawing on the wall? Which of his reactions was more effective? Explain."
,,
,,
